cobertura,autor,fecha_fin,fecha_inicio,margen,muestra,resultado,publicacion,nivel_confianza,archivo,casa_registrada,ciudadanos_registrados,censo_personas16,item,label,coberturaLabel,autorLabel
698399613415da3b0042,698614d000339f39a826,2026-02-15,2026-02-06,2,2405,698feee7df236c93676a,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,69860f45c802b1fdedb7,1149829,1167979,69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,Municipio de Santa Cruz de la Sierra,CIEMCORP S.R.L. (Ipsos Ciesmori)
6983986f27930b142391,698614d000339f39a826,2026-02-15,2026-02-06,1.28,5802,,,,,69860f45c802b1fdedb7,,2229029,6998957ee05da570839c,Primera encuesta de opinión IPSOS - CIESMORI - Gobernacion de La Paz,Departamento de La Paz,CIEMCORP S.R.L. (Ipsos Ciesmori)
698398675bb38121fa86,698614d000339f39a826,2026-02-15,2026-02-06,1.49,4650,,,,,69860f45c802b1fdedb7,,1445264,699896cebe6900b85738,Primera encuesta de opinión IPSOS - CIESMORI - Gobernacion de Cochabamba,Departamento de Cochabamba,CIEMCORP S.R.L. (Ipsos Ciesmori)
69839869e17caed5adf0,698614d000339f39a826,2026-02-15,2026-02-06,1.5,4285,,,,,69860f45c802b1fdedb7,,2180417,69989a8aef5b907305e7,Primera encuesta de opinión IPSOS - CIESMORI - Gobernacion de Santa Cruz,Departamento de Santa Cruz,CIEMCORP S.R.L. (Ipsos Ciesmori)
69839a1ea14be0c0f130,698614d000339f39a826,2026-02-15,2026-02-06,2,2401,698feee7df236c93676a,,,,69860f45c802b1fdedb7,655971,596678,69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,Municipio de Nuestra Señora de La Paz,CIEMCORP S.R.L. (Ipsos Ciesmori)
698398f5670464b78148,698614d000339f39a826,2026-02-15,2026-02-06,2,2401,698feee7df236c93676a,,,,69860f45c802b1fdedb7,760402,633783,69989ab4e78ffe344ece,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de El Alto,Municipio de El Alto,CIEMCORP S.R.L. (Ipsos Ciesmori)
6983991d0f5226b8f547,698614d000339f39a826,2026-02-15,2036-02-06,2,2405,698feee7df236c93676a,,,,69860f45c802b1fdedb7,549148,496147,69989abba78e7dfb1e3c,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Cochabamba,Municipio de Cochabamba,CIEMCORP S.R.L. (Ipsos Ciesmori)
